Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
266,komsomolskiy,40.43,71.72,26.0,21.27,26.0,26.0,39,7.2,100,UZ,18000,Ikathouse
281,korla,41.76,86.15,35.79,29.11,35.79,35.79,13,7.41,2,CN,28800,Gulisitan Hotel
591,koslan,63.46,48.9,17.46,15.48,17.46,17.46,53,2.08,0,RU,10800,missing value
42,kozhevnikovo,56.26,83.97,17.78,14.88,17.78,17.78,62,4.36,99,RU,25200,"Gostinitsa ""Ot zakata do rassveta"""
341,krasnyy oktyabr,56.12,38.88,18.59,16.53,18.59,18.59,75,4.79,100,RU,10800,Priozernaya Hotel
299,krasnyy yar,46.53,48.35,25.86,21.79,25.0,26.67,44,7.0,0,RU,14400,Cottege near Ufa
523,kropotkin,45.44,40.58,27.07,23.97,27.07,27.07,28,3.42,0,RU,10800,Hotel Europe Kropotkin
3,kruisfontein,-34.0,24.73,14.44,14.04,14.44,14.44,78,0.89,52,ZA,7200,Oyster Bay House Rental
265,kupang,-10.17,123.58,32.0,25.6,32.0,32.0,33,10.8,20,ID,28800,Sylvia Hotel Premier Kupang
15,kuusamo,65.97,29.18,12.0,8.18,12.0,12.0,66,4.1,57,FI,10800,Hotel Kuusanka
497,lazurne,46.08,32.53,22.0,19.72,21.0,22.78,60,5.0,56,UA,10800,New Manna Hostel
373,leshukonskoye,64.9,45.76,16.13,13.8,16.13,16.13,53,2.18,15,RU,10800,Gostinitsa Mup Zhkkh
59,lichuan,30.3,108.85,27.57,26.84,27.57,27.57,46,3.3,1,CN,28800,Yicheng Hotel
491,lithakia,37.72,20.83,26.0,29.83,26.0,26.0,74,0.5,20,GR,10800,Zante Plaza Hotel & Apartments
58,longyearbyen,78.22,15.64,5.0,0.08,5.0,5.0,80,4.6,40,SJ,7200,"Radisson Blu Polar Hotel, Spitsbergen"
64,lydenburg,-25.1,30.46,16.16,13.19,13.89,21.11,31,1.21,0,ZA,7200,The Palms Boutique Hotel
31,mahebourg,-20.41,57.7,22.0,22.27,22.0,22.0,78,3.6,75,MU,14400,Le Peninsula Bay Beach Resort & Spa
112,mandalgovi,45.76,106.27,28.47,20.2,28.47,28.47,18,9.38,100,MN,28800,В.Ганбат
557,maneromango,-7.2,38.78,26.0,28.46,26.0,26.0,78,3.1,40,TZ,10800,missing value
169,maniitsoq,65.42,-52.9,7.71,5.39,7.71,7.71,76,1.36,0,GL,-7200,Hotel Heilmann Lyberth
252,maromitsa,59.87,48.01,19.26,17.74,19.26,19.26,63,3.08,100,RU,10800,missing value
443,maryborough,-25.53,152.7,18.05,15.77,18.05,18.05,56,2.99,15,AU,36000,Blue Shades Motel
103,mataura,-46.19,168.86,7.22,2.19,7.22,7.22,72,4.92,100,NZ,43200,Ellie's Villa
452,mezhova,48.25,36.73,24.1,21.49,24.1,24.1,38,3.38,100,UA,10800,missing value
94,miguel hidalgo,19.42,-99.2,15.27,12.8,14.0,16.0,77,4.1,40,MX,-18000,JW Marriott Hotel Mexico City
74,mikhaylovka,50.06,43.24,26.11,23.91,26.11,26.11,33,2.68,35,RU,14400,5 Komnat
