,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
311,cap malheureux,-19.98,57.61,24.44,23.76,24.44,24.44,64,4.47,68,MU,14400
312,barsovo,61.17,73.17,18.0,16.88,18.0,18.0,63,2.0,40,RU,18000
313,kouroussa,10.65,-9.88,20.41,22.89,20.41,20.41,97,1.68,100,GN,0
314,villa bruzual,9.33,-69.12,22.3,26.34,22.3,22.3,94,0.42,95,VE,-14400
315,okhotsk,59.38,143.3,11.68,8.54,11.68,11.68,75,3.62,100,RU,36000
316,pisco,-13.7,-76.22,14.67,14.4,14.0,15.56,87,1.5,6,PE,-18000
317,mayo,38.89,-76.51,23.19,24.78,21.67,25.0,83,3.1,1,US,-14400
318,nhulunbuy,-12.23,136.77,30.0,27.24,30.0,30.0,45,7.2,100,AU,34200
319,chapais,49.78,-74.85,7.0,2.85,7.0,7.0,93,4.6,75,CA,-14400
320,esperance,-33.87,121.9,18.0,15.75,18.0,18.0,68,4.1,90,AU,28800
321,sao joao da barra,-21.64,-41.05,17.7,14.2,17.7,17.7,79,6.81,18,BR,-10800
322,ulladulla,-35.35,150.47,14.05,9.52,12.22,15.0,51,4.6,0,AU,36000
323,morant bay,17.88,-76.41,26.17,25.84,23.89,28.0,78,7.2,40,JM,-18000
324,narragansett,41.45,-71.45,19.0,17.81,16.11,21.0,64,2.6,75,US,-14400
325,fairbanks,64.84,-147.72,12.64,11.77,11.11,14.0,82,1.17,75,US,-28800
326,alexandria,31.22,29.96,28.0,29.09,28.0,28.0,56,2.67,0,EG,7200
327,bykovo,55.64,38.08,18.63,19.03,17.78,19.0,82,2.0,100,RU,10800
328,valday,57.97,33.25,15.04,13.38,15.04,15.04,88,3.73,44,RU,10800
330,port keats,-14.25,129.55,34.86,31.1,34.86,34.86,17,4.11,0,AU,34200
331,brejo santo,-7.49,-38.99,17.76,18.58,17.76,17.76,91,1.82,77,BR,-10800
332,touros,-5.2,-35.46,22.0,23.49,22.0,22.0,88,3.1,40,BR,-10800
333,ninghai,29.29,121.42,37.45,41.85,35.0,38.89,53,4.0,40,CN,28800
334,faanui,-16.48,-151.75,24.73,23.93,24.73,24.73,84,7.74,27,PF,-36000
336,alice springs,-23.7,133.88,31.0,24.14,31.0,31.0,10,6.2,0,AU,34200
337,jijiga,9.35,42.8,20.71,16.6,20.71,20.71,65,7.62,42,ET,10800
338,lewiston,44.1,-70.21,15.25,11.5,14.44,16.0,67,5.1,1,US,-14400
339,pacific grove,36.62,-121.92,14.81,15.62,13.89,15.0,96,0.74,25,US,-25200
340,abha,18.22,42.51,26.93,23.21,26.0,28.0,24,3.6,69,SA,10800
341,krasnyy oktyabr,56.12,38.88,18.59,16.53,18.59,18.59,75,4.79,100,RU,10800
344,nishihara,26.18,127.76,27.0,26.11,27.0,27.0,94,11.3,75,JP,32400
345,beringovskiy,63.05,179.32,11.17,7.39,11.17,11.17,80,4.68,85,RU,43200
346,suntar,62.14,117.63,17.75,13.92,17.75,17.75,29,2.53,0,RU,32400
348,duluth,46.78,-92.11,17.65,13.71,17.0,18.33,82,7.7,40,US,-18000
349,diapaga,12.07,1.79,22.32,24.82,22.32,22.32,89,1.99,13,BF,0
350,cangzhou,38.32,116.87,27.82,29.2,27.82,27.82,64,3.57,100,CN,28800
351,cockburn town,21.46,-71.14,28.3,28.68,28.3,28.3,80,8.2,0,TC,-14400
352,mvuma,-19.28,30.53,21.4,18.3,21.4,21.4,38,3.27,0,ZW,7200
